"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\12206\Desktop\智膳第二版\src\App.tsx", "TypeScript JSX", 26, 0, 0, 0, 2, 28
"c:\Users\12206\Desktop\智膳第二版\src\api\gemini.ts", "TypeScript", 0, 36, 0, 1, 5, 42
"c:\Users\12206\Desktop\智膳第二版\src\components\Layout.tsx", "TypeScript JSX", 94, 0, 0, 3, 10, 107
"c:\Users\12206\Desktop\智膳第二版\src\i18n.ts", "TypeScript", 0, 258, 0, 0, 4, 262
"c:\Users\12206\Desktop\智膳第二版\src\index.css", "PostCSS", 0, 0, 54, 0, 7, 61
"c:\Users\12206\Desktop\智膳第二版\src\main.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\12206\Desktop\智膳第二版\src\pages\GeneratePlan.tsx", "TypeScript JSX", 213, 0, 0, 3, 16, 232
"c:\Users\12206\Desktop\智膳第二版\src\pages\Home.tsx", "TypeScript JSX", 192, 0, 0, 0, 9, 201
"c:\Users\12206\Desktop\智膳第二版\src\pages\PlanView.tsx", "TypeScript JSX", 282, 0, 0, 0, 19, 301
"c:\Users\12206\Desktop\智膳第二版\src\pages\PlansList.tsx", "TypeScript JSX", 218, 0, 0, 0, 13, 231
"c:\Users\12206\Desktop\智膳第二版\src\pages\Profile.tsx", "TypeScript JSX", 534, 0, 0, 6, 26, 566
"c:\Users\12206\Desktop\智膳第二版\src\store.tsx", "TypeScript JSX", 113, 0, 0, 0, 17, 130
"c:\Users\12206\Desktop\智膳第二版\src\types.ts", "TypeScript", 0, 59, 0, 0, 6, 65
"Total", "-", 1682, 353, 54, 13, 136, 2238